node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-339,m3-350,0x000001d888,21,3328,793,2018-05-10 18:57:02.434391
m3-302,m3-317,0x000001e1c3,21,2291,1632,2018-05-10 18:57:37.819484
m3-309,m3-317,0x000001f177,21,65535,1536,2018-05-10 18:58:37.913489
m3-299,m3-310,0x000001f675,21,2347,1632,2018-05-10 18:58:57.207505
m3-302,m3-310,0x000001f70a,21,2218,1632,2018-05-10 18:58:59.347702
m3-339,m3-351,0x000001f978,21,3328,768,2018-05-10 18:59:08.648162
m3-339,m3-347,0x000001fdbf,21,3328,1024,2018-05-10 18:59:25.046651
m3-326,m3-335,0x00000210b1,21,2176,1074,2018-05-10 19:00:37.656262
m3-322,m3-335,0x0000022168,21,1962,1237,2018-05-10 19:01:42.372624
m3-310,m3-317,0x0000022248,21,2056,1536,2018-05-10 19:01:45.133069
m3-306,m3-314,0x0000023df9,21,2197,1682,2018-05-10 19:03:31.386814
m3-322,m3-343,0x000002493f,21,3730,1237,2018-05-10 19:04:14.622977
m3-322,m3-334,0x0000026daf,21,3584,1305,2018-05-10 19:06:34.540734
m3-326,m3-334,0x00000285e1,21,3640,1280,2018-05-10 19:08:07.289381
m3-326,m3-335,0x0000029aac,21,1962,1120,2018-05-10 19:09:27.06637
m3-317,m3-326,0x000002ae97,21,2688,1336,2018-05-10 19:10:43.398532
m3-299,m3-305,0x000002de7f,21,4659,2048,2018-05-10 19:13:47.291884
m3-299,m3-309,0x000002f8a2,21,2355,1817,2018-05-10 19:15:27.503426
m3-322,m3-335,0x00000310a2,21,1728,1024,2018-05-10 19:16:59.547252
m3-317,m3-325,0x0000031c19,21,1800,1280,2018-05-10 19:17:43.446347
m3-322,m3-339,0x00000336eb,21,3730,1280,2018-05-10 19:19:26.405197
m3-322,m3-343,0x0000034169,21,1962,1237,2018-05-10 19:20:06.69562
m3-326,m3-329,0x0000034169,21,3730,1305,2018-05-10 19:20:06.727135
m3-322,m3-335,0x0000035300,21,3584,1195,2018-05-10 19:21:14.162645
m3-318,m3-335,0x0000037c4e,21,65535,1170,2018-05-10 19:23:52.341752
m3-318,m3-329,0x0000038b56,21,65535,1280,2018-05-10 19:24:50.137365
m3-318,m3-325,0x0000038e14,21,3840,1376,2018-05-10 19:25:00.762733
m3-322,m3-329,0x000003942f,21,65535,1280,2018-05-10 19:25:23.933368
m3-313,m3-329,0x0000039bd7,21,65535,1336,2018-05-10 19:25:53.286147
m3-322,m3-334,0x0000039bd6,21,65535,1305,2018-05-10 19:25:53.427114
m3-322,m3-343,0x0000039bd6,21,65535,1472,2018-05-10 19:25:53.53272
m3-335,m3-334,0x0000039c44,21,65535,1280,2018-05-10 19:25:55.097177
m3-317,m3-329,0x0000039ffa,21,65535,1426,2018-05-10 19:26:09.20589
m3-325,m3-329,0x0000039ffb,21,65535,1426,2018-05-10 19:26:09.233088
m3-318,m3-334,0x000003a1e2,21,65535,1376,2018-05-10 19:26:16.673764
m3-325,m3-321,0x000003a78b,21,65535,1792,2018-05-10 19:26:38.267616
m3-317,m3-326,0x000003a78a,21,65535,1536,2018-05-10 19:26:38.275105
m3-329,m3-334,0x000003a873,21,65535,1280,2018-05-10 19:26:41.850354
m3-329,m3-343,0x000003a873,21,65535,1331,2018-05-10 19:26:41.944291
m3-329,m3-342,0x000003a873,21,65535,1493,2018-05-10 19:26:42.022121
m3-329,m3-330,0x000003a873,21,65535,1536,2018-05-10 19:26:42.096829
m3-329,m3-338,0x000003a873,21,65535,1536,2018-05-10 19:26:42.172439
m3-314,m3-326,0x000003a942,21,65535,1536,2018-05-10 19:26:44.998438
m3-318,m3-326,0x000003a966,21,65535,1536,2018-05-10 19:26:45.491414
m3-318,m3-309,0x000003a966,21,65535,1984,2018-05-10 19:26:45.576895
m3-313,m3-326,0x000003ab26,21,65535,1536,2018-05-10 19:26:52.019317
m3-322,m3-330,0x000003aea1,21,65535,1536,2018-05-10 19:27:05.454884
m3-317,m3-334,0x000003af1a,21,65535,1587,2018-05-10 19:27:07.255139
m3-317,m3-313,0x000003af1a,21,65535,1592,2018-05-10 19:27:07.336309
m3-329,m3-326,0x000003b004,21,65535,1536,2018-05-10 19:27:10.854652
m3-314,m3-313,0x000003b0e5,21,65535,1592,2018-05-10 19:27:14.227818
m3-326,m3-342,0x000003b0ec,21,65535,1305,2018-05-10 19:27:14.2295
m3-326,m3-343,0x000003b0ec,21,65535,1472,2018-05-10 19:27:14.322082
m3-335,m3-351,0x000003b10f,21,1280,768,2018-05-10 19:27:14.88745
m3-313,m3-330,0x000003b2cd,21,65535,1536,2018-05-10 19:27:21.405115
m3-318,m3-314,0x000003b53c,21,65535,1848,2018-05-10 19:27:30.698565
m3-317,m3-309,0x000003b6aa,21,65535,1938,2018-05-10 19:27:36.259853
m3-309,m3-313,0x000003b833,21,65535,1592,2018-05-10 19:27:42.277797
m3-314,m3-317,0x000003b889,21,65535,1682,2018-05-10 19:27:43.427956
m3-314,m3-322,0x000003b889,21,65535,1792,2018-05-10 19:27:43.509375
m3-310,m3-313,0x000003b924,21,65535,1592,2018-05-10 19:27:45.687951
m3-301,m3-310,0x000003bd45,21,65535,1848,2018-05-10 19:28:01.679615
m3-309,m3-321,0x000003bfa8,21,65535,1848,2018-05-10 19:28:10.803207
m3-310,m3-322,0x000003c09a,21,65535,1792,2018-05-10 19:28:14.43816
m3-305,m3-310,0x000003c0ee,21,65535,1848,2018-05-10 19:28:15.608128
m3-299,m3-310,0x000003c12d,21,65535,1904,2018-05-10 19:28:16.518485
m3-326,m3-322,0x000003c1f7,21,65535,1792,2018-05-10 19:28:19.5619
m3-313,m3-305,0x000003c21c,21,65535,1848,2018-05-10 19:28:20.140099
m3-313,m3-306,0x000003c21c,21,65535,1888,2018-05-10 19:28:20.218641
m3-326,m3-335,0x000003c41a,21,1792,1237,2018-05-10 19:28:27.83089
m3-313,m3-314,0x000003c513,21,65535,2048,2018-05-10 19:28:31.535174
m3-318,m3-334,0x000003c513,21,2048,1426,2018-05-10 19:28:31.634692
m3-325,m3-342,0x000003cb4b,21,65535,3840,2018-05-10 19:28:55.388952
m3-329,m3-342,0x000003cb4b,21,65535,1962,2018-05-10 19:28:55.390117
m3-313,m3-326,0x000003cfc3,21,2048,1280,2018-05-10 19:29:12.674526
m3-302,m3-305,0x000003cffc,21,65535,2048,2018-05-10 19:29:13.458608
m3-318,m3-326,0x000003d040,21,1962,1280,2018-05-10 19:29:14.543349
m3-317,m3-318,0x000003d11f,21,65535,1536,2018-05-10 19:29:17.677037
m3-306,m3-313,0x000003d343,21,2048,1536,2018-05-10 19:29:26.073622
m3-301,m3-305,0x000003d3ee,21,65535,2048,2018-05-10 19:29:28.444301
m3-302,m3-299,0x000003d782,21,65535,2160,2018-05-10 19:29:42.366864
m3-302,m3-298,0x000003d782,21,65535,2304,2018-05-10 19:29:42.460275
m3-314,m3-326,0x000003dcb0,21,1792,1280,2018-05-10 19:30:02.237576
m3-305,m3-313,0x000003e4a7,21,2048,1536,2018-05-10 19:30:32.740236
m3-302,m3-313,0x000003e7f5,21,2360,1632,2018-05-10 19:30:45.382176
m3-309,m3-314,0x000003e9ce,21,65535,1536,2018-05-10 19:30:52.440143
m3-306,m3-314,0x000003eea5,21,65535,1592,2018-05-10 19:31:11.133159
m3-299,m3-305,0x000003ef3f,21,3200,1792,2018-05-10 19:31:13.367873
m3-322,m3-335,0x000003f1ad,21,1536,1024,2018-05-10 19:31:22.725424
m3-302,m3-305,0x000003f1c5,21,4096,1792,2018-05-10 19:31:23.053549
m3-325,m3-335,0x000003f329,21,65535,1024,2018-05-10 19:31:28.376855
m3-325,m3-326,0x000003f329,21,65535,1280,2018-05-10 19:31:28.498278
m3-329,m3-335,0x000003f3b7,21,1962,1080,2018-05-10 19:31:30.491138
m3-306,m3-301,0x000003f63a,21,65535,2360,2018-05-10 19:31:40.07436
m3-325,m3-322,0x000003fab8,21,65535,1792,2018-05-10 19:31:57.366857
m3-325,m3-317,0x000003fab8,21,65535,1792,2018-05-10 19:31:57.537319
m3-306,m3-314,0x0000040691,21,65535,1536,2018-05-10 19:32:42.702692
m3-325,m3-329,0x0000041920,21,65535,1336,2018-05-10 19:33:53.878309
m3-322,m3-326,0x0000041df1,21,65535,1280,2018-05-10 19:34:12.346016
m3-326,m3-322,0x000004237d,21,65535,1280,2018-05-10 19:34:33.687396
m3-314,m3-322,0x0000042377,21,65535,1280,2018-05-10 19:34:33.695458
m3-326,m3-339,0x000004237d,21,65535,1305,2018-05-10 19:34:33.787601
m3-322,m3-335,0x0000044bf1,21,1561,1024,2018-05-10 19:37:08.876184
m3-317,m3-322,0x0000044fa3,21,1817,1305,2018-05-10 19:37:23.174381
