sender,asn,asn_in,seqnum,time
m3-248,0x000008ac6c,0x000008ac36,441,2018-02-13 14:55:20.352047
m3-241,0x000008ac9f,0x000008ab67,443,2018-02-13 14:55:21.077255
m3-228,0x000008acbf,0x000008acaa,443,2018-02-13 14:55:21.589253
m3-228,0x000008acd0,0x000008acaa,443,2018-02-13 14:55:21.869516
m3-220,0x000008ad0b,0x000008aa53,444,2018-02-13 14:55:22.713531
m3-233,0x000008ad4c,0x000008ac34,443,2018-02-13 14:55:23.678219
m3-229,0x000008ad71,0x000008acae,441,2018-02-13 14:55:24.223969
m3-208,0x000008add0,0x000008adcd,448,2018-02-13 14:55:25.702641
m3-217,0x000008ae21,0x000008ad83,446,2018-02-13 14:55:26.934529
m3-240,0x000008ae2d,0x000008ad4c,444,2018-02-13 14:55:27.040431
m3-225,0x000008ae31,0x000008ae19,447,2018-02-13 14:55:27.120316
m3-224,0x000008ae65,0x000008ae41,445,2018-02-13 14:55:27.90008
m3-216,0x000008ae7a,0x000008ad7e,444,2018-02-13 14:55:28.223715
m3-220,0x000008ae99,0x000008ae93,445,2018-02-13 14:55:28.66454
m3-212,0x000008aee9,0x000008aee0,448,2018-02-13 14:55:29.889084
m3-249,0x000008aef9,0x000008ae1f,438,2018-02-13 14:55:30.099484
m3-252,0x000008af25,0x000008af0e,441,2018-02-13 14:55:30.759307
m3-236,0x000008af48,0x000008af04,448,2018-02-13 14:55:31.282355
m3-220,0x000008af60,0x000008ae93,445,2018-02-13 14:55:31.685462
m3-253,0x000008af7d,0x000008af4b,445,2018-02-13 14:55:32.109947
m3-236,0x000008af84,0x000008af04,448,2018-02-13 14:55:32.182331
m3-244,0x000008afbf,0x000008af90,442,2018-02-13 14:55:33.085304
m3-221,0x000008b071,0x000008af6d,447,2018-02-13 14:55:35.759628
m3-245,0x000008b082,0x000008b04e,445,2018-02-13 14:55:35.984176
m3-209,0x000008b086,0x000008b07a,448,2018-02-13 14:55:36.118316
m3-232,0x000008b12f,0x000008b098,440,2018-02-13 14:55:38.590469
m3-248,0x000008b1dd,0x000008b10a,442,2018-02-13 14:55:41.208776
m3-228,0x000008b210,0x000008b1c9,444,2018-02-13 14:55:41.958902
m3-225,0x000008b21b,0x000008b217,448,2018-02-13 14:55:42.125253
m3-241,0x000008b237,0x000008b112,444,2018-02-13 14:55:42.588965
m3-213,0x000008b255,0x000008b20a,438,2018-02-13 14:55:43.006194
m3-237,0x000008b264,0x000008b1be,445,2018-02-13 14:55:43.214822
m3-241,0x000008b2d7,0x000008b112,444,2018-02-13 14:55:44.937117
m3-229,0x000008b2e2,0x000008b267,442,2018-02-13 14:55:45.10869
m3-208,0x000008b324,0x000008b301,449,2018-02-13 14:55:46.105571
m3-220,0x000008b343,0x000008b2f0,446,2018-02-13 14:55:46.569278
m3-233,0x000008b384,0x000008b27e,444,2018-02-13 14:55:47.523711
m3-217,0x000008b392,0x000008b38e,447,2018-02-13 14:55:47.764745
m3-249,0x000008b3a2,0x000008b2c1,439,2018-02-13 14:55:47.985006
m3-249,0x000008b3be,0x000008b2c1,439,2018-02-13 14:55:48.399413
m3-216,0x000008b3eb,0x000008b2fc,445,2018-02-13 14:55:49.089945
