node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-343,m3-338,0x0000002ac4,6,0,1,2018-05-10 12:51:44.115923
m3-321,m3-326,0x0000002b70,1,1,1,2018-05-10 12:51:46.677279
m3-338,m3-334,0x0000002b70,1,2,1,2018-05-10 12:51:46.682179
m3-346,m3-358,0x0000002b72,2,2,1,2018-05-10 12:51:46.709572
m3-322,m3-335,0x0000002c37,1,1,1,2018-05-10 12:51:49.664033
m3-338,m3-334,0x0000002c37,1,2,1,2018-05-10 12:51:49.66877
m3-325,m3-338,0x0000002c3d,1,2,1,2018-05-10 12:51:49.773404
m3-335,m3-334,0x0000002c4a,1,3,1,2018-05-10 12:51:49.9418
m3-355,m3-346,0x0000002cfe,1,1,1,2018-05-10 12:51:52.636619
m3-338,m3-334,0x0000002dc5,1,2,1,2018-05-10 12:51:55.632212
m3-343,m3-351,0x0000002dc5,1,3,1,2018-05-10 12:51:55.633209
m3-325,m3-338,0x0000002dcb,1,2,1,2018-05-10 12:51:55.719932
m3-318,m3-326,0x0000002dcd,1,2,1,2018-05-10 12:51:55.737957
m3-355,m3-346,0x0000002e8c,1,1,1,2018-05-10 12:51:58.602903
m3-318,m3-326,0x0000002e94,1,2,1,2018-05-10 12:51:58.743196
m3-335,m3-334,0x0000002e9f,1,3,1,2018-05-10 12:51:58.8828
m3-306,m3-318,0x0000002f53,1,1,1,2018-05-10 12:52:01.59487
m3-305,m3-306,0x0000002f53,1,1,1,2018-05-10 12:52:01.598663
m3-335,m3-334,0x000000302d,1,3,1,2018-05-10 12:52:04.848097
m3-306,m3-318,0x00000030e1,1,1,1,2018-05-10 12:52:07.555613
m3-342,m3-326,0x00000030e1,1,1,1,2018-05-10 12:52:07.567296
m3-334,m3-335,0x00000030ec,6,0,1,2018-05-10 12:52:07.705801
m3-306,m3-318,0x00000031a8,1,1,1,2018-05-10 12:52:10.572969
m3-322,m3-335,0x00000031a8,1,1,1,2018-05-10 12:52:10.580963
m3-321,m3-326,0x00000031a8,1,1,1,2018-05-10 12:52:10.584216
m3-346,m3-358,0x00000031aa,2,2,1,2018-05-10 12:52:10.588419
m3-338,m3-334,0x000000322c,6,0,1,2018-05-10 12:52:12.506778
m3-302,m3-306,0x000000326f,1,1,1,2018-05-10 12:52:13.538952
m3-309,m3-317,0x000000326f,1,1,1,2018-05-10 12:52:13.541285
m3-306,m3-318,0x000000326f,1,1,1,2018-05-10 12:52:13.548225
m3-321,m3-326,0x0000003336,1,1,1,2018-05-10 12:52:16.528599
m3-342,m3-346,0x0000003336,1,1,1,2018-05-10 12:52:16.530356
m3-334,m3-335,0x0000003341,6,0,1,2018-05-10 12:52:16.66437
m3-335,m3-334,0x0000003349,6,0,1,2018-05-10 12:52:16.777434
m3-306,m3-318,0x00000033fd,1,1,1,2018-05-10 12:52:19.527919
m3-355,m3-346,0x00000033fd,1,1,1,2018-05-10 12:52:19.528321
m3-346,m3-358,0x00000033ff,2,2,1,2018-05-10 12:52:19.546157
m3-317,m3-325,0x0000003403,1,1,1,2018-05-10 12:52:19.589636
m3-354,m3-335,0x00000034c4,1,1,1,2018-05-10 12:52:22.458305
m3-317,m3-325,0x00000034ca,1,1,1,2018-05-10 12:52:22.553338
m3-335,m3-334,0x00000034d7,6,0,1,2018-05-10 12:52:22.740407
m3-306,m3-318,0x000000358b,1,1,1,2018-05-10 12:52:25.507282
m3-321,m3-326,0x000000358b,1,1,1,2018-05-10 12:52:25.508365
m3-305,m3-306,0x000000358b,1,1,1,2018-05-10 12:52:25.510184
m3-343,m3-351,0x000000358b,1,3,1,2018-05-10 12:52:25.526129
m3-351,m3-358,0x0000003652,1,3,1,2018-05-10 12:52:28.432209
m3-346,m3-358,0x0000003654,2,2,1,2018-05-10 12:52:28.457981
m3-354,m3-335,0x0000003719,1,1,1,2018-05-10 12:52:31.459041
m3-306,m3-318,0x0000003719,1,1,1,2018-05-10 12:52:31.460323
m3-342,m3-346,0x0000003719,1,1,1,2018-05-10 12:52:31.463706
m3-346,m3-358,0x00000037e0,1,1,1,2018-05-10 12:52:34.387667
m3-302,m3-306,0x00000037e0,1,1,1,2018-05-10 12:52:34.393266
m3-318,m3-326,0x00000037e8,1,2,1,2018-05-10 12:52:34.504742
m3-326,m3-335,0x00000037f3,1,1,1,2018-05-10 12:52:34.668609
m3-342,m3-346,0x00000038a7,1,1,1,2018-05-10 12:52:37.367935
m3-299,m3-309,0x000000396e,1,1,1,2018-05-10 12:52:40.407044
m3-346,m3-358,0x000000396e,1,1,1,2018-05-10 12:52:40.423541
m3-351,m3-358,0x000000396e,1,3,1,2018-05-10 12:52:40.425712
m3-338,m3-347,0x000000396e,1,3,1,2018-05-10 12:52:40.431348
m3-306,m3-318,0x000000396e,1,1,1,2018-05-10 12:52:40.438627
m3-343,m3-338,0x00000039ac,6,0,1,2018-05-10 12:52:41.272906
m3-334,m3-335,0x0000003a35,6,0,1,2018-05-10 12:52:43.365168
m3-306,m3-318,0x0000003a35,1,1,1,2018-05-10 12:52:43.372316
m3-355,m3-346,0x0000003a35,1,1,1,2018-05-10 12:52:43.37287
m3-322,m3-335,0x0000003afc,1,1,1,2018-05-10 12:52:46.367757
m3-334,m3-335,0x0000003afc,1,3,1,2018-05-10 12:52:46.372795
m3-355,m3-346,0x0000003afc,1,1,1,2018-05-10 12:52:46.376982
m3-299,m3-309,0x0000003afc,1,1,1,2018-05-10 12:52:46.380206
m3-325,m3-318,0x0000003b02,1,2,1,2018-05-10 12:52:46.404689
m3-318,m3-326,0x0000003b04,1,2,1,2018-05-10 12:52:46.42862
m3-335,m3-334,0x0000003b0f,1,3,1,2018-05-10 12:52:46.619474
m3-318,m3-335,0x0000003bcb,1,3,1,2018-05-10 12:52:49.410151
m3-338,m3-347,0x0000003c8a,1,3,1,2018-05-10 12:52:52.338042
m3-322,m3-335,0x0000003c8a,1,1,1,2018-05-10 12:52:52.343263
m3-350,m3-355,0x0000003c8a,1,1,1,2018-05-10 12:52:52.344917
m3-339,m3-346,0x0000003d51,1,1,1,2018-05-10 12:52:55.261093
m3-335,m3-334,0x0000003d64,1,3,1,2018-05-10 12:52:55.539532
m3-342,m3-346,0x0000003e18,1,1,1,2018-05-10 12:52:58.308515
