node,new_parent,asn,experiment_id,previous_rank,new_rank,time
m3-313,m3-339,0x0000054164,31,2567,1324,2018-05-10 21:26:14.428109
m3-321,m3-334,0x00000543e7,31,65535,1294,2018-05-10 21:26:23.939982
m3-321,m3-339,0x00000543e8,31,65535,1324,2018-05-10 21:26:24.027962
m3-325,m3-334,0x0000054767,31,65535,1294,2018-05-10 21:26:37.49093
m3-325,m3-322,0x0000054767,31,65535,1550,2018-05-10 21:26:37.572819
m3-325,m3-330,0x0000054767,31,65535,1806,2018-05-10 21:26:37.657896
m3-330,m3-339,0x0000054866,31,65535,1324,2018-05-10 21:26:41.318791
m3-325,m3-310,0x00000549a6,31,65535,1839,2018-05-10 21:26:45.999461
m3-330,m3-326,0x0000054d57,31,65535,1806,2018-05-10 21:27:00.129587
m3-321,m3-335,0x00000561f1,31,7168,1265,2018-05-10 21:28:19.190313
m3-325,m3-335,0x00000564f4,31,2031,1265,2018-05-10 21:28:30.783451
m3-346,m3-358,0x00000565ed,31,2567,775,2018-05-10 21:28:34.566955
m3-339,m3-358,0x0000056762,31,1536,775,2018-05-10 21:28:40.245668
m3-309,m3-310,0x0000056953,31,2540,1806,2018-05-10 21:28:47.576584
m3-310,m3-321,0x00000569b7,31,17415,1784,2018-05-10 21:28:49.278863
m3-343,m3-358,0x0000056afa,31,1713,775,2018-05-10 21:28:53.916584
m3-317,m3-339,0x0000056c0c,31,1931,1365,2018-05-10 21:28:58.008156
m3-317,m3-334,0x0000056d33,31,65535,1431,2018-05-10 21:29:02.431187
m3-318,m3-335,0x0000057e69,31,15175,1115,2018-05-10 21:30:08.494286
m3-313,m3-335,0x0000057e69,31,8049,1115,2018-05-10 21:30:08.506267
m3-342,m3-358,0x000005846f,31,1496,775,2018-05-10 21:30:31.557927
m3-309,m3-322,0x000005889d,31,2239,1550,2018-05-10 21:30:47.58548
m3-317,m3-321,0x0000058b6e,31,3216,1406,2018-05-10 21:30:58.378771
m3-322,m3-346,0x0000058d46,31,65535,1031,2018-05-10 21:31:05.525286
m3-335,m3-354,0x00000592d1,31,57856,1031,2018-05-10 21:31:26.71049
m3-351,m3-354,0x00000594db,31,6656,1031,2018-05-10 21:31:34.503399
m3-346,m3-351,0x00000594db,31,6656,1031,2018-05-10 21:31:34.526473
m3-322,m3-342,0x00000594ed,31,65535,1543,2018-05-10 21:31:34.75742
m3-322,m3-325,0x00000594ed,31,65535,1784,2018-05-10 21:31:34.826247
m3-322,m3-310,0x00000594ed,31,65535,2303,2018-05-10 21:31:34.882721
m3-309,m3-329,0x000005954a,31,65535,1543,2018-05-10 21:31:36.21018
m3-347,m3-358,0x00000006b5,32,65535,775,2018-05-11 00:34:48.858265
m3-346,m3-358,0x0000000b14,32,65535,775,2018-05-11 00:35:05.633417
m3-351,m3-358,0x0000000b14,32,65535,775,2018-05-11 00:35:05.636331
m3-334,m3-346,0x0000000b2d,32,65535,1294,2018-05-11 00:35:05.995676
m3-350,m3-334,0x0000000ca2,32,65535,1813,2018-05-11 00:35:11.5975
m3-335,m3-334,0x0000000ca2,32,65535,1813,2018-05-11 00:35:11.600386
m3-338,m3-347,0x0000000d1f,32,65535,1294,2018-05-11 00:35:13.569929
m3-329,m3-335,0x0000000ef7,32,65535,2332,2018-05-11 00:35:20.541282
m3-342,m3-346,0x0000001165,32,65535,1294,2018-05-11 00:35:29.862371
m3-322,m3-346,0x0000001165,32,65535,1294,2018-05-11 00:35:29.863932
m3-355,m3-358,0x0000001290,32,65535,775,2018-05-11 00:35:34.3514
m3-317,m3-322,0x000000152f,32,65535,1813,2018-05-11 00:35:44.384719
m3-330,m3-334,0x00000017e8,32,65535,1813,2018-05-11 00:35:54.841666
m3-318,m3-322,0x00000019c0,32,65535,1813,2018-05-11 00:36:01.906801
m3-325,m3-335,0x00000019f2,32,65535,2332,2018-05-11 00:36:02.685016
m3-326,m3-329,0x0000001b80,32,65535,2851,2018-05-11 00:36:08.612495
m3-310,m3-318,0x0000001c79,32,65535,2332,2018-05-11 00:36:12.377732
m3-306,m3-310,0x0000001e9c,32,65535,2851,2018-05-11 00:36:20.576931
m3-335,m3-358,0x000000208e,32,1404,775,2018-05-11 00:36:28.118738
m3-313,m3-310,0x0000002314,32,65535,2851,2018-05-11 00:36:37.704239
m3-321,m3-326,0x00000023f4,32,65535,3370,2018-05-11 00:36:41.054536
m3-343,m3-347,0x00000024a2,32,65535,1031,2018-05-11 00:36:43.65156
m3-302,m3-317,0x00000026c6,32,65535,2332,2018-05-11 00:36:51.88381
m3-305,m3-317,0x00000026c6,32,65535,2332,2018-05-11 00:36:51.884459
m3-301,m3-313,0x000000278d,32,65535,3370,2018-05-11 00:36:54.872786
m3-298,m3-310,0x000000289e,32,65535,2851,2018-05-11 00:36:58.936236
m3-299,m3-301,0x0000002a77,32,65535,3889,2018-05-11 00:37:06.041802
m3-314,m3-306,0x0000002ccc,32,65535,3370,2018-05-11 00:37:14.983266
m3-339,m3-338,0x0000002d2f,32,65535,1813,2018-05-11 00:37:16.473386
m3-350,m3-358,0x0000002d2f,32,1388,775,2018-05-11 00:37:16.544204
m3-354,m3-355,0x0000003144,32,65535,1294,2018-05-11 00:37:32.149819
m3-313,m3-335,0x0000003a66,32,2506,1294,2018-05-11 00:38:07.25128
m3-313,m3-329,0x0000003b04,32,65535,1742,2018-05-11 00:38:09.540824
m3-306,m3-322,0x0000003e18,32,2042,1468,2018-05-11 00:38:21.510782
m3-309,m3-314,0x0000003e94,32,65535,3889,2018-05-11 00:38:23.169927
m3-318,m3-335,0x0000004517,32,9601,1230,2018-05-11 00:38:48.259607
m3-317,m3-335,0x0000004641,32,9514,1351,2018-05-11 00:38:52.739707
m3-306,m3-326,0x00000049b7,32,65535,1742,2018-05-11 00:39:06.008581
m3-301,m3-317,0x0000004b99,32,3342,1870,2018-05-11 00:39:13.205053
m3-314,m3-338,0x0000004e52,32,2643,1324,2018-05-11 00:39:23.645897
m3-306,m3-325,0x000000514d,32,65535,1572,2018-05-11 00:39:35.064135
m3-322,m3-338,0x00000051f7,32,65535,1324,2018-05-11 00:39:37.671582
m3-313,m3-334,0x00000051f9,32,65535,1371,2018-05-11 00:39:37.686736
m3-322,m3-334,0x00000051f7,32,65535,1371,2018-05-11 00:39:37.736311
m3-322,m3-326,0x000000599e,32,65535,1742,2018-05-11 00:40:06.90017
m3-322,m3-313,0x000000599e,32,65535,2261,2018-05-11 00:40:07.003288
m3-322,m3-321,0x000000599e,32,65535,3889,2018-05-11 00:40:07.126364
m3-313,m3-302,0x00000059a0,32,65535,2851,2018-05-11 00:40:07.151825
m3-322,m3-318,0x0000005b57,32,65535,1749,2018-05-11 00:40:13.498918
m3-314,m3-330,0x0000006118,32,65535,1627,2018-05-11 00:40:35.702481
m3-313,m3-301,0x0000006176,32,65535,2389,2018-05-11 00:40:37.050289
m3-314,m3-310,0x0000006304,32,65535,2005,2018-05-11 00:40:42.942364
m3-309,m3-325,0x0000006479,32,17770,1572,2018-05-11 00:40:48.638424
m3-321,m3-346,0x00000075de,32,1735,1031,2018-05-11 00:41:55.371213
m3-309,m3-339,0x0000008123,32,7453,1543,2018-05-11 00:42:38.56607
m3-313,m3-346,0x000000843f,32,1976,1031,2018-05-11 00:42:50.483272
m3-314,m3-346,0x0000008b3e,32,1772,1031,2018-05-11 00:43:17.350685
m3-301,m3-313,0x0000008b89,32,2920,1550,2018-05-11 00:43:18.44283
m3-305,m3-325,0x0000008cb3,32,2920,1365,2018-05-11 00:43:22.952552
m3-314,m3-329,0x0000008eeb,32,65535,1355,2018-05-11 00:43:31.352196
m3-302,m3-313,0x00000092a1,32,15889,1550,2018-05-11 00:43:45.651272
m3-309,m3-329,0x0000009318,32,65535,1544,2018-05-11 00:43:47.356759
m3-309,m3-310,0x0000009318,32,65535,1693,2018-05-11 00:43:47.428529
