node,destination,asn,iana_6top_cmd,requested_cell,experiment_id,time
m3-338,m3-346,0x0000003b12,1,1,41,2018-05-17 10:28:33.934385
m3-317,m3-321,0x0000003bc3,1,1,41,2018-05-17 10:28:36.559265
m3-339,m3-329,0x0000003bc3,6,0,41,2018-05-17 10:28:36.560185
m3-346,m3-358,0x0000003bd9,1,1,41,2018-05-17 10:28:37.026273
m3-306,m3-309,0x0000003d51,1,1,41,2018-05-17 10:28:42.539904
m3-339,m3-329,0x0000003d51,1,1,41,2018-05-17 10:28:42.548267
m3-317,m3-321,0x0000003d51,1,1,41,2018-05-17 10:28:42.550576
m3-325,m3-338,0x0000003d62,1,3,41,2018-05-17 10:28:42.768962
m3-301,m3-298,0x0000003e18,1,1,41,2018-05-17 10:28:45.539742
m3-306,m3-309,0x0000003e18,1,1,41,2018-05-17 10:28:45.562364
m3-335,m3-343,0x0000003e18,1,1,41,2018-05-17 10:28:45.564597
m3-321,m3-325,0x0000003e29,1,1,41,2018-05-17 10:28:45.940499
m3-317,m3-321,0x0000003edf,1,1,41,2018-05-17 10:28:48.495011
m3-306,m3-309,0x0000003edf,1,1,41,2018-05-17 10:28:48.504099
m3-317,m3-321,0x0000003fa6,6,0,41,2018-05-17 10:28:51.473621
m3-343,m3-330,0x0000003fa6,1,1,41,2018-05-17 10:28:51.483495
m3-321,m3-325,0x0000003fb7,1,1,41,2018-05-17 10:28:51.71454
m3-317,m3-321,0x000000406d,6,0,41,2018-05-17 10:28:54.474104
m3-298,m3-302,0x000000406d,1,1,41,2018-05-17 10:28:54.474574
m3-330,m3-346,0x000000407f,1,1,41,2018-05-17 10:28:54.728033
m3-317,m3-321,0x0000004134,1,1,41,2018-05-17 10:28:57.444291
m3-302,m3-309,0x0000004134,1,3,41,2018-05-17 10:28:57.448174
m3-325,m3-338,0x0000004145,1,3,41,2018-05-17 10:28:57.692995
m3-299,m3-317,0x00000041fb,1,1,41,2018-05-17 10:29:00.421722
m3-302,m3-309,0x00000042c2,1,3,41,2018-05-17 10:29:03.409798
m3-325,m3-338,0x00000042d3,1,3,41,2018-05-17 10:29:03.672473
m3-298,m3-314,0x0000004450,1,3,41,2018-05-17 10:29:09.37806
m3-302,m3-309,0x0000004450,1,3,41,2018-05-17 10:29:09.380802
m3-305,m3-330,0x00000045de,1,1,41,2018-05-17 10:29:15.322632
m3-314,m3-338,0x00000045e7,1,3,41,2018-05-17 10:29:15.485534
m3-321,m3-325,0x00000045ef,1,1,41,2018-05-17 10:29:15.574947
m3-302,m3-309,0x00000046a5,1,3,41,2018-05-17 10:29:18.304061
m3-330,m3-346,0x00000046b7,1,1,41,2018-05-17 10:29:18.572773
m3-325,m3-338,0x000000477d,1,3,41,2018-05-17 10:29:21.538943
m3-302,m3-309,0x0000004833,1,3,41,2018-05-17 10:29:24.365558
m3-305,m3-330,0x0000004833,1,1,41,2018-05-17 10:29:24.367487
m3-321,m3-325,0x0000004844,1,1,41,2018-05-17 10:29:24.671085
m3-298,m3-302,0x0000004890,6,0,41,2018-05-17 10:29:25.702721
m3-310,m3-322,0x00000049c1,1,1,41,2018-05-17 10:29:30.244922
m3-314,m3-338,0x0000004a91,1,3,41,2018-05-17 10:29:33.356956
m3-305,m3-330,0x0000004b4f,1,1,41,2018-05-17 10:29:36.200119
m3-325,m3-338,0x0000004b60,1,3,41,2018-05-17 10:29:36.475867
m3-302,m3-309,0x0000004cdd,1,3,41,2018-05-17 10:29:42.159127
m3-325,m3-338,0x0000004cee,1,3,41,2018-05-17 10:29:42.44544
m3-321,m3-325,0x0000004cee,1,1,41,2018-05-17 10:29:42.60017
m3-330,m3-346,0x0000004db6,1,1,41,2018-05-17 10:29:45.410627
m3-302,m3-309,0x0000004f32,1,3,41,2018-05-17 10:29:51.154159
m3-309,m3-302,0x0000004f32,1,2,41,2018-05-17 10:29:51.180737
m3-326,m3-325,0x0000004f32,1,1,41,2018-05-17 10:29:51.184393
m3-305,m3-330,0x0000004f32,1,1,41,2018-05-17 10:29:51.194049
m3-310,m3-322,0x0000004f32,1,1,41,2018-05-17 10:29:51.19684
m3-325,m3-338,0x0000004f43,1,3,41,2018-05-17 10:29:51.410143
m3-321,m3-325,0x0000004f43,1,1,41,2018-05-17 10:29:51.487626
m3-306,m3-309,0x0000004ff9,1,1,41,2018-05-17 10:29:54.104009
m3-298,m3-302,0x0000005007,6,0,41,2018-05-17 10:29:54.296321
m3-302,m3-309,0x00000050c0,1,3,41,2018-05-17 10:29:57.098172
m3-326,m3-325,0x00000050c0,1,1,41,2018-05-17 10:29:57.103995
m3-322,m3-338,0x00000050c0,1,1,41,2018-05-17 10:29:57.113887
m3-330,m3-346,0x00000050d2,1,1,41,2018-05-17 10:29:57.335792
m3-326,m3-325,0x000000524e,1,1,41,2018-05-17 10:30:03.035665
m3-299,m3-314,0x000000524e,1,1,41,2018-05-17 10:30:03.041258
m3-338,m3-346,0x0000005264,1,3,41,2018-05-17 10:30:03.39128
m3-314,m3-338,0x000000531e,1,3,41,2018-05-17 10:30:06.133817
m3-321,m3-325,0x0000005326,1,1,41,2018-05-17 10:30:06.261127
m3-299,m3-314,0x00000053dc,1,1,41,2018-05-17 10:30:08.9969
m3-314,m3-338,0x00000053e5,1,3,41,2018-05-17 10:30:09.121092
m3-309,m3-302,0x00000054a3,1,2,41,2018-05-17 10:30:11.988937
m3-302,m3-309,0x00000054a3,1,3,41,2018-05-17 10:30:11.995731
m3-305,m3-330,0x000000556a,1,1,41,2018-05-17 10:30:14.983554
m3-325,m3-347,0x000000557b,1,3,41,2018-05-17 10:30:15.207444
m3-305,m3-330,0x0000005631,1,1,41,2018-05-17 10:30:17.969699
m3-302,m3-309,0x0000005631,1,3,41,2018-05-17 10:30:17.983868
m3-325,m3-347,0x0000005642,1,3,41,2018-05-17 10:30:18.20083
m3-346,m3-358,0x0000005647,1,3,41,2018-05-17 10:30:18.257622
m3-299,m3-317,0x00000056e8,6,0,41,2018-05-17 10:30:20.742368
m3-322,m3-338,0x00000056f8,1,1,41,2018-05-17 10:30:20.934474
m3-325,m3-347,0x0000005709,1,3,41,2018-05-17 10:30:21.202419
m3-310,m3-298,0x000000577b,6,0,41,2018-05-17 10:30:22.917279
m3-298,m3-302,0x000000577d,6,0,41,2018-05-17 10:30:22.963188
m3-299,m3-298,0x00000057bf,1,1,41,2018-05-17 10:30:23.90279
m3-330,m3-346,0x00000057d1,1,1,41,2018-05-17 10:30:24.180452
m3-325,m3-338,0x0000005893,6,0,41,2018-05-17 10:30:27.140945
