node,new_parent,asn,time
m3-233,m3-212,0x0000006ae3,2018-02-20 10:22:58.059305
m3-225,m3-212,0x0000006b91,2018-02-20 10:23:00.568199
m3-237,m3-240,0x0000006f25,2018-02-20 10:23:14.214365
m3-212,m3-207,0x0000007102,2018-02-20 10:23:21.485979
m3-260,m3-252,0x00000071aa,2018-02-20 10:23:23.96611
m3-252,m3-240,0x0000007370,2018-02-20 10:23:30.758278
m3-245,m3-232,0x0000007405,2018-02-20 10:23:33.005121
m3-217,m3-209,0x0000007530,2018-02-20 10:23:37.506606
m3-240,m3-212,0x000000766f,2018-02-20 10:23:42.180013
m3-241,m3-228,0x00000076ef,2018-02-20 10:23:44.231811
m3-229,m3-228,0x0000007744,2018-02-20 10:23:45.539653
m3-224,m3-217,0x00000078e1,2018-02-20 10:23:51.653505
m3-252,m3-224,0x0000007a34,2018-02-20 10:23:56.818961
m3-248,m3-212,0x0000007cdd,2018-02-20 10:24:06.917068
m3-240,m3-228,0x0000007dd6,2018-02-20 10:24:10.700524
m3-240,m3-261,0x0000007dd6,2018-02-20 10:24:10.77432
m3-257,m3-244,0x0000007dee,2018-02-20 10:24:11.020546
m3-237,m3-224,0x0000007df6,2018-02-20 10:24:11.187998
m3-220,m3-207,0x0000007e84,2018-02-20 10:24:13.301933
m3-229,m3-224,0x0000007eb9,2018-02-20 10:24:14.104289
m3-229,m3-240,0x0000007eb9,2018-02-20 10:24:14.176417
m3-232,m3-212,0x0000008008,2018-02-20 10:24:19.091938
m3-260,m3-256,0x00000080d1,2018-02-20 10:24:22.211444
m3-260,m3-257,0x00000080d1,2018-02-20 10:24:22.286207
m3-260,m3-265,0x00000080d1,2018-02-20 10:24:22.362501
m3-260,m3-264,0x00000080d1,2018-02-20 10:24:22.437441
m3-229,m3-220,0x0000008203,2018-02-20 10:24:26.603639
m3-261,m3-252,0x000000823c,2018-02-20 10:24:27.482587
m3-256,m3-232,0x0000008378,2018-02-20 10:24:32.299983
m3-264,m3-212,0x0000008378,2018-02-20 10:24:32.300701
m3-236,m3-216,0x00000084d5,2018-02-20 10:24:37.434145
m3-256,m3-264,0x0000008514,2018-02-20 10:24:38.347698
m3-245,m3-244,0x0000008657,2018-02-20 10:24:43.308012
m3-261,m3-265,0x00000089e5,2018-02-20 10:24:56.973211
m3-261,m3-257,0x00000089e5,2018-02-20 10:24:57.062716
m3-261,m3-264,0x00000089e5,2018-02-20 10:24:57.156993
m3-237,m3-233,0x0000008cc7,2018-02-20 10:25:08.009507
