node,destination,asn,iana_6top_cmd,requested_cell,time
m3-220,m3-236,0x0000003d51,1,3,2018-02-13 11:37:18.406304
m3-217,m3-220,0x0000003d51,1,1,2018-02-13 11:37:18.433749
m3-213,m3-207,0x0000003d51,1,1,2018-02-13 11:37:18.434255
m3-236,m3-220,0x0000003d5c,1,1,2018-02-13 11:37:18.567928
m3-245,m3-232,0x0000003e18,1,1,2018-02-13 11:37:21.385976
m3-244,m3-236,0x0000003e2a,1,3,2018-02-13 11:37:21.656551
m3-217,m3-220,0x0000003fa6,1,1,2018-02-13 11:37:27.376532
m3-212,m3-207,0x0000003fa6,1,2,2018-02-13 11:37:27.388964
m3-220,m3-207,0x000000412d,6,0,2018-02-13 11:37:33.212634
m3-245,m3-232,0x0000004134,1,1,2018-02-13 11:37:33.328113
m3-208,m3-207,0x0000004134,1,1,2018-02-13 11:37:33.329544
m3-248,m3-212,0x00000041fb,1,2,2018-02-13 11:37:36.317446
m3-213,m3-220,0x00000042b7,6,0,2018-02-13 11:37:39.113713
m3-245,m3-232,0x00000042c2,1,1,2018-02-13 11:37:39.283991
m3-241,m3-220,0x00000042c2,1,1,2018-02-13 11:37:39.284698
m3-208,m3-220,0x0000004305,6,0,2018-02-13 11:37:40.280884
m3-236,m3-220,0x0000004319,6,0,2018-02-13 11:37:40.584025
m3-212,m3-207,0x0000004389,1,2,2018-02-13 11:37:42.304965
m3-248,m3-212,0x0000004389,1,2,2018-02-13 11:37:42.311435
m3-241,m3-220,0x0000004389,1,1,2018-02-13 11:37:42.315459
m3-249,m3-232,0x000000439b,1,3,2018-02-13 11:37:42.54686
m3-244,m3-236,0x000000439b,1,3,2018-02-13 11:37:42.555179
m3-212,m3-220,0x00000043da,6,0,2018-02-13 11:37:43.470286
m3-249,m3-244,0x0000004427,6,0,2018-02-13 11:37:44.626643
m3-220,m3-236,0x00000045de,1,3,2018-02-13 11:37:51.243486
m3-241,m3-220,0x00000045de,1,1,2018-02-13 11:37:51.248319
m3-248,m3-212,0x00000045de,1,2,2018-02-13 11:37:51.254422
m3-252,m3-232,0x00000045de,1,1,2018-02-13 11:37:51.259405
m3-232,m3-236,0x00000046ac,1,1,2018-02-13 11:37:54.296691
m3-244,m3-236,0x00000046b7,1,3,2018-02-13 11:37:54.453425
m3-220,m3-236,0x000000476c,1,3,2018-02-13 11:37:57.171334
m3-241,m3-220,0x000000476c,1,1,2018-02-13 11:37:57.177657
m3-252,m3-232,0x0000004833,1,1,2018-02-13 11:38:00.162608
m3-236,m3-212,0x000000483e,1,3,2018-02-13 11:38:00.322071
m3-224,m3-212,0x00000048fa,1,1,2018-02-13 11:38:03.148837
m3-248,m3-212,0x00000048fa,1,2,2018-02-13 11:38:03.164279
m3-249,m3-232,0x000000490c,1,3,2018-02-13 11:38:03.401957
